date,consumer_sentiment,core_pce_inf,unemployment,cbo_unemployment,core_pce_real,interest
2002-08-01,-3.9000000000000057,1.2909614700633032,5.7,,2.988693725238498,1.74
2002-09-01,4.299999999999997,2.385394241459744,5.6,,3.7183707050731862,1.75
2002-10-01,-2.1000000000000085,1.3321577978260408,5.7,5.0,1.2945723633772215,1.75
2002-11-01,0.29999999999999716,1.2385603331113786,6.0,,2.0064820085013646,1.34
2002-12-01,-2.0999999999999943,1.274931290658755,6.0,,3.0296162312546255,1.24
2003-01-01,-10.599999999999994,1.2012257153703438,5.7,5.0,2.517031075875268,1.24
2003-02-01,-10.799999999999997,1.1996348453672865,5.8,,1.5980537056731972,1.26
2003-03-01,-18.10000000000001,1.216607708291269,5.8,,2.4116517333462335,1.25
2003-04-01,-7.0,1.05924755212283,6.0,5.0,2.106552472968836,1.26
2003-05-01,-4.800000000000011,1.0956867955669531,6.1,,3.237642178107459,1.26
2003-06-01,-2.700000000000003,1.175883804836517,6.4,,3.340264088821268,1.22
2003-07-01,2.8000000000000114,1.2551907566328089,6.2,5.0,3.1348162476904147,1.01
2003-08-01,1.7000000000000028,1.1166382233845147,6.1,,3.8553189560076064,1.03
2003-09-01,1.6000000000000085,1.0246844031107265,6.1,,4.064073365969432,1.01
2003-10-01,9.0,1.005268011992185,6.0,5.0,3.9603205510482358,1.01
2003-11-01,9.5,0.9219938578762257,5.9,,4.374918040783211,1.0
2003-12-01,5.8999999999999915,1.0432021205226154,5.7,,3.753021806180735,0.98
2004-01-01,21.39999999999999,1.1573678485037846,5.6,5.0,4.064280871599269,1.0
2004-02-01,14.5,1.171058061745484,5.6,,4.900978607250303,1.01
2004-03-01,18.200000000000003,1.2625443773016036,5.7,,4.796806831076298,1.0
2004-04-01,8.200000000000003,1.3286169412473146,5.6,5.0,4.2749103827143635,1.0
2004-05-01,-1.8999999999999915,1.5500138240849866,5.6,,4.482629327699855,1.0
2004-06-01,5.8999999999999915,1.497185339805659,5.6,,3.3413096428888514,1.03
2004-07-01,5.799999999999997,1.3023045592221594,5.5,5.0,3.753028007999967,1.26
2004-08-01,6.6000000000000085,1.1746733255185149,5.4,,3.033234949470747,1.43
2004-09-01,6.5,1.2017473445194073,5.4,,4.0666675969077515,1.61
2004-10-01,2.1000000000000085,1.227346712273876,5.5,5.0,4.066667596907751,1.76
2004-11-01,-0.9000000000000057,1.377384514827512,5.4,,3.446608008445548,1.93
